	WordPiece	surprisal	window
0	he	15.317025769834489	1L/0R
1	she	17.531979108450336	1L/0R
2	##wed	22.32782481667855	1L/0R
3	me	17.416059552823096	1L/0R
4	a	18.643338217281013	1L/0R
5	pure	26.586091277364794	1L/0R
6	river	23.697686700762194	1L/0R
7	of	16.317319856627638	1L/0R
8	water	17.846739298566717	1L/0R
9	of	16.77692526374107	1L/0R
10	life	16.70350033015239	1L/0R
11	clear	23.59950175204998	1L/0R
12	as	17.08607191435459	1L/0R
13	crystal	26.00965345040452	1L/0R
14	proceeding	26.04145126696672	1L/0R
15	out	20.717334741057588	1L/0R
16	of	14.254815216260184	1L/0R
17	the	10.795313045533101	1L/0R
18	throne	22.544038470750166	1L/0R
19	of	13.802263020476571	1L/0R
20	God	17.044711314418855	1L/0R
21	and	15.880250978621431	1L/0R
22	of	16.938276794639727	1L/0R
23	the	10.795313045533101	1L/0R
24	Lamb	25.21989301399721	1L/0R
25	.	0.3049788494037932	1L/0R
26	In	19.260647782750713	1L/0R
27	the	19.27324123988275	1L/0R
28	midst	18.920157668814497	1L/0R
29	of	15.777753279894894	1L/0R
30	the	10.795313045533101	1L/0R
31	street	18.044972287695273	1L/0R
32	of	15.013971196783297	1L/0R
33	it	13.20483675122653	1L/0R
34	and	14.20475974495834	1L/0R
35	on	19.759277949230146	1L/0R
36	either	21.15048036035716	1L/0R
37	side	19.453742196636988	1L/0R
38	of	15.079528833891658	1L/0R
39	the	10.795313045533101	1L/0R
40	river	20.519977419759694	1L/0R
41	was	20.2434553842731	1L/0R
42	there	13.339497525851463	1L/0R
43	the	19.62096344891116	1L/0R
44	tree	20.60882224032291	1L/0R
45	of	16.30860182172891	1L/0R
46	life	16.70350033015239	1L/0R
47	which	19.960769838064948	1L/0R
48	bare	21.15110709370694	1L/0R
49	twelve	23.77143111414579	1L/0R
50	manner	26.090124948419675	1L/0R
51	of	12.490573513778868	1L/0R
52	fruits	19.98912449597509	1L/0R
53	and	15.932528382480163	1L/0R
54	yielded	24.06655048135824	1L/0R
55	her	17.991548979617157	1L/0R
56	fruit	26.518506145793296	1L/0R
57	every	24.631781977806696	1L/0R
58	month	14.993227251103335	1L/0R
59	and	13.129430397481059	1L/0R
60	the	16.871478703630824	1L/0R
61	leaves	17.040032194113902	1L/0R
62	of	15.156028550253223	1L/0R
63	the	10.795313045533101	1L/0R
64	tree	20.60882224032291	1L/0R
65	were	22.930982336901916	1L/0R
66	for	15.571400603038475	1L/0R
67	the	13.419997856144535	1L/0R
68	healing	23.540168811558914	1L/0R
69	of	16.58485759511833	1L/0R
70	the	10.795313045533101	1L/0R
71	nations	24.558607411172247	1L/0R
72	.	1.4907994613100288	1L/0R
73	And	18.04693873328205	1L/0R
74	there	13.720580985194763	1L/0R
75	shall	23.111534411516942	1L/0R
76	be	12.351718240650708	1L/0R
77	no	19.84942682517376	1L/0R
78	more	18.478575561443044	1L/0R
79	curse	24.890381012280827	1L/0R
80	but	18.799405018808596	1L/0R
81	the	14.894565724595742	1L/0R
82	throne	22.544038470750166	1L/0R
83	of	13.802263020476571	1L/0R
84	God	17.044711314418855	1L/0R
85	and	15.880250978621431	1L/0R
86	of	16.938276794639727	1L/0R
87	the	10.795313045533101	1L/0R
88	Lamb	25.21989301399721	1L/0R
89	shall	26.296824173400047	1L/0R
90	be	12.351718240650708	1L/0R
91	in	14.998645069197915	1L/0R
92	it	19.36279915389224	1L/0R
93	and	14.20475974495834	1L/0R
94	his	20.992231343804725	1L/0R
95	servants	25.533834770322233	1L/0R
96	shall	21.616847475699313	1L/0R
97	serve	16.420223141619363	1L/0R
98	him	19.006288126870206	1L/0R
99	.	0.5871950141578951	1L/0R
100	And	18.04693873328205	1L/0R
101	they	16.01671444598669	1L/0R
102	shall	15.318417023901263	1L/0R
103	see	12.466467196702883	1L/0R
104	his	20.0956603035469	1L/0R
105	face	16.53211712782785	1L/0R
106	and	12.60879457048023	1L/0R
107	his	20.992231343804725	1L/0R
108	name	17.139284677638443	1L/0R
109	shall	20.395254385862692	1L/0R
110	be	12.351718240650708	1L/0R
111	in	14.998645069197915	1L/0R
112	their	21.914456223204432	1L/0R
113	forehead	17.034357314915162	1L/0R
114	##s	18.21776130393787	1L/0R
115	.	0.05513989243897332	1L/0R
116	And	18.04693873328205	1L/0R
117	there	13.720580985194763	1L/0R
118	shall	23.111534411516942	1L/0R
119	be	12.351718240650708	1L/0R
120	no	19.84942682517376	1L/0R
121	night	24.818688479103724	1L/0R
122	there	18.602969638313436	1L/0R
123	and	16.20997104297104	1L/0R
124	they	19.310569701320514	1L/0R
125	need	13.861407736672643	1L/0R
126	no	20.22319501526858	1L/0R
127	candle	29.483545875742088	1L/0R
128	neither	24.276226166160523	1L/0R
129	light	20.19763618635533	1L/0R
130	of	15.538723031241068	1L/0R
131	the	10.795313045533101	1L/0R
132	sun	20.73599444843427	1L/0R
133	for	18.29450544920881	1L/0R
134	the	13.419997856144535	1L/0R
135	Lord	21.615916777560447	1L/0R
136	God	10.98461166216675	1L/0R
137	give	22.613146168334605	1L/0R
138	##th	17.486826619294494	1L/0R
139	them	24.104220055990183	1L/0R
140	light	21.693018824127915	1L/0R
141	and	14.360205782169235	1L/0R
142	they	19.310569701320514	1L/0R
143	shall	15.318417023901263	1L/0R
144	reign	18.346452288633543	1L/0R
145	for	26.620322593840122	1L/0R
146	ever	19.31964820346425	1L/0R
147	and	9.019694522109708	1L/0R
148	ever	24.53251882691274	1L/0R
149	.	0.5416075307251214	1L/0R
150	And	18.04693873328205	1L/0R
151	he	15.317025769834489	1L/0R
152	said	12.672490938720687	1L/0R
153	unto	21.717180784346894	1L/0R
154	me	14.087931161518783	1L/0R
155	These	24.8250468957511	1L/0R
156	saying	19.01445994821595	1L/0R
157	##s	17.226967771634673	1L/0R
158	are	23.13664249162699	1L/0R
159	faithful	23.835261676510218	1L/0R
160	and	12.034715250435276	1L/0R
161	true	20.548322020009607	1L/0R
162	and	13.253960680632652	1L/0R
163	the	16.871478703630824	1L/0R
164	Lord	21.615916777560447	1L/0R
165	God	10.98461166216675	1L/0R
166	of	18.68521514537548	1L/0R
167	the	10.795313045533101	1L/0R
168	holy	24.558282711853526	1L/0R
169	prophet	23.601369153477084	1L/0R
170	##s	12.03866927765155	1L/0R
171	sent	28.88393958823706	1L/0R
172	his	18.01202226739689	1L/0R
173	angel	22.843745454085223	1L/0R
174	to	16.63465766491695	1L/0R
175	she	19.49029662527637	1L/0R
176	##w	15.723133708111758	1L/0R
177	unto	24.79530230072645	1L/0R
178	his	15.481975672078345	1L/0R
179	servants	25.533834770322233	1L/0R
180	the	19.600957734273226	1L/0R
181	things	21.298535946499097	1L/0R
182	which	18.10709203937765	1L/0R
183	must	14.611996382976617	1L/0R
184	shortly	21.989693009218854	1L/0R
185	be	18.27847864669242	1L/0R
186	done	20.945721278459114	1L/0R
187	.	0.43739375368627453	1L/0R
188	Be	20.544996437368855	1L/0R
189	##hold	10.3983895782796	1L/0R
190	I	17.618936348927594	1L/0R
191	come	21.465241654142098	1L/0R
192	quickly	22.644685201561053	1L/0R
193	blessed	24.1231046534112	1L/0R
194	is	16.36905614819505	1L/0R
195	he	17.38614198116196	1L/0R
196	that	16.003362909566814	1L/0R
197	keep	20.369568774012293	1L/0R
198	##eth	21.93931660055585	1L/0R
199	the	10.341093289116564	1L/0R
200	saying	19.5901291138233	1L/0R
201	##s	17.226967771634673	1L/0R
202	of	20.4355736922152	1L/0R
