	WordPiece	surprisal	window
0	And	13.874351945161749	1SL/0R
1	he	15.317025769834489	1SL/0R
2	she	17.892647535041895	1SL/0R
3	##wed	22.47520101718812	1SL/0R
4	me	16.681165955156743	1SL/0R
5	a	21.01877435317287	1SL/0R
6	pure	18.153837058627747	1SL/0R
7	river	25.221438949361062	1SL/0R
8	of	19.66289495299117	1SL/0R
9	water	10.646938135381204	1SL/0R
10	of	20.973339120373097	1SL/0R
11	life	12.153493557700155	1SL/0R
12	clear	27.244685126928083	1SL/0R
13	as	17.66756906780876	1SL/0R
14	crystal	9.91044396975476	1SL/0R
15	proceeding	34.79953387998126	1SL/0R
16	out	21.333859557149434	1SL/0R
17	of	17.6287052471531	1SL/0R
18	the	13.43093953991077	1SL/0R
19	throne	13.771976960091369	1SL/0R
20	of	18.7818772914036	1SL/0R
21	God	10.661787555505171	1SL/0R
22	and	16.322633482164164	1SL/0R
23	of	10.564955479332507	1SL/0R
24	the	9.428709228020578	1SL/0R
25	Lamb	13.132197549970513	1SL/0R
26	.	0.08300869304809393	1SL/0R
27	In	12.838212735926794	1SL/0R
28	the	19.27324123988275	1SL/0R
29	midst	15.948226819957773	1SL/0R
30	of	11.099545341465182	1SL/0R
31	the	9.84725855043103	1SL/0R
32	street	8.545269470219926	1SL/0R
33	of	19.11021096484456	1SL/0R
34	it	10.231826076266387	1SL/0R
35	and	16.45781935483614	1SL/0R
36	on	12.496771001271439	1SL/0R
37	either	22.603457146149562	1SL/0R
38	side	10.056782656741973	1SL/0R
39	of	14.292410215656112	1SL/0R
40	the	9.90979403490455	1SL/0R
41	river	5.187201349197521	1SL/0R
42	was	19.19375730068842	1SL/0R
43	there	10.765536001836875	1SL/0R
44	the	15.16437466500561	1SL/0R
45	tree	16.05120993409812	1SL/0R
46	of	18.90646976170184	1SL/0R
47	life	16.3133446366297	1SL/0R
48	which	21.78666123305538	1SL/0R
49	bare	24.28277856525135	1SL/0R
50	twelve	24.77424770997459	1SL/0R
51	manner	26.553209100978854	1SL/0R
52	of	18.43234884329799	1SL/0R
53	fruits	25.631199429745458	1SL/0R
54	and	17.043763798235286	1SL/0R
55	yielded	23.36842980345339	1SL/0R
56	her	23.258769115270084	1SL/0R
57	fruit	26.740349822046248	1SL/0R
58	every	24.23072650536845	1SL/0R
59	month	16.68851788402954	1SL/0R
60	and	17.92368346825668	1SL/0R
61	the	16.50984516521328	1SL/0R
62	leaves	19.35274701351382	1SL/0R
63	of	18.08912729246949	1SL/0R
64	the	10.612262415332825	1SL/0R
65	tree	10.991254756215275	1SL/0R
66	were	22.755520456529677	1SL/0R
67	for	14.680524397283795	1SL/0R
68	the	14.376274763269329	1SL/0R
69	healing	15.268016461291303	1SL/0R
70	of	17.622879381322313	1SL/0R
71	the	11.790771698196304	1SL/0R
72	nations	18.047623459050044	1SL/0R
73	.	0.10753824636272911	1SL/0R
74	And	13.874351945161749	1SL/0R
75	there	13.720580985194763	1SL/0R
76	shall	24.730641427712822	1SL/0R
77	be	7.24109558660395	1SL/0R
78	no	17.142076317746618	1SL/0R
79	more	11.790866167037496	1SL/0R
80	curse	28.528560445308635	1SL/0R
81	but	19.433538851483547	1SL/0R
82	the	13.907306724644702	1SL/0R
83	throne	16.90512625149196	1SL/0R
84	of	20.315444942632116	1SL/0R
85	God	11.441809135903108	1SL/0R
86	and	16.398328602838042	1SL/0R
87	of	9.586319393802887	1SL/0R
88	the	9.586378655757686	1SL/0R
